main_code,main_name,sub_no,sub_code,sub_name,quantity
EQ-0012,保管ラインF,3,OP-123,ガイド板,8
EQ-0012,保管ラインF,4,OP-124,制御ケーブル,1
EQ-0013,加工ラインA,1,OP-131,交換ベルト,7
EQ-0013,加工ラインA,2,OP-132,ガイド板,8
EQ-0013,加工ラインA,3,OP-133,制御ケーブル,1
EQ-0013,加工ラインA,4,OP-134,予備ローラー,2
EQ-0013,加工ラインA,5,OP-135,固定金具,3
EQ-0014,搬送ラインB,1,OP-141,ガイド板,8
EQ-0014,搬送ラインB,2,OP-142,制御ケーブル,1
EQ-0014,搬送ラインB,3,OP-143,予備ローラー,2
EQ-0014,搬送ラインB,4,OP-144,固定金具,3
EQ-0014,搬送ラインB,5,OP-145,フィルター,4
EQ-0014,搬送ラインB,6,OP-146,ラベル台紙,5
EQ-0015,仕分ラインC,1,OP-151,制御ケーブル,1
EQ-0015,仕分ラインC,2,OP-152,予備ローラー,2
EQ-0015,仕分ラインC,3,OP-153,固定金具,3
EQ-0015,仕分ラインC,4,OP-154,フィルター,4
EQ-0015,仕分ラインC,5,OP-155,ラベル台紙,5
EQ-0015,仕分ラインC,6,OP-156,ロックピン,6
EQ-0015,仕分ラインC,7,OP-157,センサーS1,7
EQ-0016,包装ラインD,1,OP-161,予備ローラー,2
EQ-0016,包装ラインD,2,OP-162,固定金具,3
EQ-0016,包装ラインD,3,OP-163,フィルター,4
EQ-0017,検査ラインE,1,OP-171,固定金具,3
EQ-0017,検査ラインE,2,OP-172,フィルター,4
EQ-0017,検査ラインE,3,OP-173,ラベル台紙,5
EQ-0017,検査ラインE,4,OP-174,ロックピン,6
EQ-0018,保管ラインF,1,OP-181,フィルター,4
EQ-0018,保管ラインF,2,OP-182,ラベル台紙,5
EQ-0018,保管ラインF,3,OP-183,ロックピン,6
EQ-0018,保管ラインF,4,OP-184,センサーS1,7
EQ-0018,保管ラインF,5,OP-185,保護カバー,8
EQ-0019,加工ラインA,1,OP-191,ラベル台紙,5
EQ-0019,加工ラインA,2,OP-192,ロックピン,6
EQ-0019,加工ラインA,3,OP-193,センサーS1,7
EQ-0019,加工ラインA,4,OP-194,保護カバー,8
EQ-0019,加工ラインA,5,OP-195,交換ベルト,1
EQ-0019,加工ラインA,6,OP-196,ガイド板,2
EQ-0020,搬送ラインB,1,OP-201,ロックピン,6
EQ-0020,搬送ラインB,2,OP-202,センサーS1,7
EQ-0020,搬送ラインB,3,OP-203,保護カバー,8
EQ-0020,搬送ラインB,4,OP-204,交換ベルト,1
EQ-0020,搬送ラインB,5,OP-205,ガイド板,2
EQ-0020,搬送ラインB,6,OP-206,制御ケーブル,3
EQ-0020,搬送ラインB,7,OP-207,予備ローラー,4
EQ-0021,仕分ラインC,1,OP-211,センサーS1,7
EQ-0021,仕分ラインC,2,OP-212,保護カバー,8
EQ-0021,仕分ラインC,3,OP-213,交換ベルト,1
EQ-0022,包装ラインD,1,OP-221,保護カバー,8
EQ-0022,包装ラインD,2,OP-222,交換ベルト,1
EQ-0022,包装ラインD,3,OP-223,ガイド板,2
EQ-0022,包装ラインD,4,OP-224,制御ケーブル,3
EQ-0023,検査ラインE,1,OP-231,交換ベルト,1
EQ-0023,検査ラインE,2,OP-232,ガイド板,2
EQ-0023,検査ラインE,3,OP-233,制御ケーブル,3
EQ-0023,検査ラインE,4,OP-234,予備ローラー,4
EQ-0023,検査ラインE,5,OP-235,固定金具,5
EQ-0024,保管ラインF,1,OP-241,ガイド板,2
EQ-0024,保管ラインF,2,OP-242,制御ケーブル,3
EQ-0024,保管ラインF,3,OP-243,予備ローラー,4
EQ-0024,保管ラインF,4,OP-244,固定金具,5
EQ-0024,保管ラインF,5,OP-245,フィルター,6
EQ-0024,保管ラインF,6,OP-246,ラベル台紙,7
EQ-0025,加工ラインA,1,OP-251,制御ケーブル,3
EQ-0025,加工ラインA,2,OP-252,予備ローラー,4
EQ-0025,加工ラインA,3,OP-253,固定金具,5
EQ-0025,加工ラインA,4,OP-254,フィルター,6
EQ-0025,加工ラインA,5,OP-255,ラベル台紙,7
EQ-0025,加工ラインA,6,OP-256,ロックピン,8
EQ-0025,加工ラインA,7,OP-257,センサーS1,1
EQ-0026,搬送ラインB,1,OP-261,予備ローラー,4
EQ-0026,搬送ラインB,2,OP-262,固定金具,5
EQ-0026,搬送ラインB,3,OP-263,フィルター,6
EQ-0027,仕分ラインC,1,OP-271,固定金具,5
EQ-0027,仕分ラインC,2,OP-272,フィルター,6
EQ-0027,仕分ラインC,3,OP-273,ラベル台紙,7
EQ-0027,仕分ラインC,4,OP-274,ロックピン,8
EQ-0028,包装ラインD,1,OP-281,フィルター,6
EQ-0028,包装ラインD,2,OP-282,ラベル台紙,7
EQ-0028,包装ラインD,3,OP-283,ロックピン,8
EQ-0028,包装ラインD,4,OP-284,センサーS1,1
EQ-0028,包装ラインD,5,OP-285,保護カバー,2
EQ-0029,検査ラインE,1,OP-291,ラベル台紙,7
EQ-0029,検査ラインE,2,OP-292,ロックピン,8
EQ-0029,検査ラインE,3,OP-293,センサーS1,1
EQ-0029,検査ラインE,4,OP-294,保護カバー,2
EQ-0029,検査ラインE,5,OP-295,交換ベルト,3
EQ-0029,検査ラインE,6,OP-296,ガイド板,4
EQ-0030,保管ラインF,1,OP-301,ロックピン,8
EQ-0030,保管ラインF,2,OP-302,センサーS1,1
EQ-0030,保管ラインF,3,OP-303,保護カバー,2
EQ-0030,保管ラインF,4,OP-304,交換ベルト,3
EQ-0030,保管ラインF,5,OP-305,ガイド板,4
EQ-0030,保管ラインF,6,OP-306,制御ケーブル,5
EQ-0030,保管ラインF,7,OP-307,予備ローラー,6
EQ-0031,加工ラインA,1,OP-311,センサーS1,1
EQ-0031,加工ラインA,2,OP-312,保護カバー,2
EQ-0031,加工ラインA,3,OP-313,交換ベルト,3
EQ-0032,搬送ラインB,1,OP-321,保護カバー,2
EQ-0032,搬送ラインB,2,OP-322,交換ベルト,3
EQ-0032,搬送ラインB,3,OP-323,ガイド板,4
EQ-0032,搬送ラインB,4,OP-324,制御ケーブル,5
EQ-0033,仕分ラインC,1,OP-331,交換ベルト,3
EQ-0033,仕分ラインC,2,OP-332,ガイド板,4
EQ-0033,仕分ラインC,3,OP-333,制御ケーブル,5
EQ-0033,仕分ラインC,4,OP-334,予備ローラー,6
EQ-0033,仕分ラインC,5,OP-335,固定金具,7
EQ-0034,包装ラインD,1,OP-341,ガイド板,4
EQ-0034,包装ラインD,2,OP-342,制御ケーブル,5
EQ-0034,包装ラインD,3,OP-343,予備ローラー,6
EQ-0034,包装ラインD,4,OP-344,固定金具,7
EQ-0034,包装ラインD,5,OP-345,フィルター,8
EQ-0034,包装ラインD,6,OP-346,ラベル台紙,1
EQ-0035,検査ラインE,1,OP-351,制御ケーブル,5
EQ-0035,検査ラインE,2,OP-352,予備ローラー,6
EQ-0035,検査ラインE,3,OP-353,固定金具,7
EQ-0035,検査ラインE,4,OP-354,フィルター,8
EQ-0035,検査ラインE,5,OP-355,ラベル台紙,1
EQ-0035,検査ラインE,6,OP-356,ロックピン,2
EQ-0035,検査ラインE,7,OP-357,センサーS1,3
EQ-0036,保管ラインF,1,OP-361,予備ローラー,6
EQ-0036,保管ラインF,2,OP-362,固定金具,7
EQ-0036,保管ラインF,3,OP-363,フィルター,8
EQ-0037,加工ラインA,1,OP-371,固定金具,7
EQ-0037,加工ラインA,2,OP-372,フィルター,8
EQ-0037,加工ラインA,3,OP-373,ラベル台紙,1
EQ-0037,加工ラインA,4,OP-374,ロックピン,2
EQ-0038,搬送ラインB,1,OP-381,フィルター,8
EQ-0038,搬送ラインB,2,OP-382,ラベル台紙,1
EQ-0038,搬送ラインB,3,OP-383,ロックピン,2
EQ-0038,搬送ラインB,4,OP-384,センサーS1,3
EQ-0038,搬送ラインB,5,OP-385,保護カバー,4
EQ-0039,仕分ラインC,1,OP-391,ラベル台紙,1
EQ-0039,仕分ラインC,2,OP-392,ロックピン,2
EQ-0039,仕分ラインC,3,OP-393,センサーS1,3
EQ-0039,仕分ラインC,4,OP-394,保護カバー,4
EQ-0039,仕分ラインC,5,OP-395,交換ベルト,5
EQ-0039,仕分ラインC,6,OP-396,ガイド板,6
EQ-0040,包装ラインD,1,OP-401,ロックピン,2
EQ-0040,包装ラインD,2,OP-402,センサーS1,3
EQ-0040,包装ラインD,3,OP-403,保護カバー,4
EQ-0040,包装ラインD,4,OP-404,交換ベルト,5
EQ-0040,包装ラインD,5,OP-405,ガイド板,6
EQ-0040,包装ラインD,6,OP-406,制御ケーブル,7
EQ-0040,包装ラインD,7,OP-407,予備ローラー,8
EQ-0041,検査ラインE,1,OP-411,センサーS1,3
EQ-0041,検査ラインE,2,OP-412,保護カバー,4
EQ-0041,検査ラインE,3,OP-413,交換ベルト,5
EQ-0042,保管ラインF,1,OP-421,保護カバー,4
EQ-0042,保管ラインF,2,OP-422,交換ベルト,5
EQ-0042,保管ラインF,3,OP-423,ガイド板,6
EQ-0042,保管ラインF,4,OP-424,制御ケーブル,7
EQ-0043,加工ラインA,1,OP-431,交換ベルト,5
EQ-0043,加工ラインA,2,OP-432,ガイド板,6
EQ-0043,加工ラインA,3,OP-433,制御ケーブル,7
EQ-0043,加工ラインA,4,OP-434,予備ローラー,8
EQ-0043,加工ラインA,5,OP-435,固定金具,1
EQ-0044,搬送ラインB,1,OP-441,ガイド板,6
EQ-0044,搬送ラインB,2,OP-442,制御ケーブル,7
EQ-0044,搬送ラインB,3,OP-443,予備ローラー,8
EQ-0044,搬送ラインB,4,OP-444,固定金具,1
EQ-0044,搬送ラインB,5,OP-445,フィルター,2
EQ-0044,搬送ラインB,6,OP-446,ラベル台紙,3
EQ-0045,仕分ラインC,1,OP-451,制御ケーブル,7
EQ-0045,仕分ラインC,2,OP-452,予備ローラー,8
EQ-0045,仕分ラインC,3,OP-453,固定金具,1
EQ-0045,仕分ラインC,4,OP-454,フィルター,2
EQ-0045,仕分ラインC,5,OP-455,ラベル台紙,3
EQ-0045,仕分ラインC,6,OP-456,ロックピン,4
EQ-0045,仕分ラインC,7,OP-457,センサーS1,5
EQ-0046,包装ラインD,1,OP-461,予備ローラー,8
EQ-0046,包装ラインD,2,OP-462,固定金具,1
EQ-0046,包装ラインD,3,OP-463,フィルター,2
EQ-0047,検査ラインE,1,OP-471,固定金具,1
EQ-0047,検査ラインE,2,OP-472,フィルター,2
EQ-0047,検査ラインE,3,OP-473,ラベル台紙,3
EQ-0047,検査ラインE,4,OP-474,ロックピン,4
EQ-0048,保管ラインF,1,OP-481,フィルター,2
EQ-0048,保管ラインF,2,OP-482,ラベル台紙,3
EQ-0048,保管ラインF,3,OP-483,ロックピン,4
EQ-0048,保管ラインF,4,OP-484,センサーS1,5
EQ-0048,保管ラインF,5,OP-485,保護カバー,6
EQ-0049,加工ラインA,1,OP-491,ラベル台紙,3
EQ-0049,加工ラインA,2,OP-492,ロックピン,4
EQ-0049,加工ラインA,3,OP-493,センサーS1,5
EQ-0049,加工ラインA,4,OP-494,保護カバー,6
EQ-0049,加工ラインA,5,OP-495,交換ベルト,7
EQ-0049,加工ラインA,6,OP-496,ガイド板,8
EQ-0050,搬送ラインB,1,OP-501,ロックピン,4
EQ-0050,搬送ラインB,2,OP-502,センサーS1,5
EQ-0050,搬送ラインB,3,OP-503,保護カバー,6
EQ-0050,搬送ラインB,4,OP-504,交換ベルト,7
EQ-0050,搬送ラインB,5,OP-505,ガイド板,8
EQ-0050,搬送ラインB,6,OP-506,制御ケーブル,1
EQ-0050,搬送ラインB,7,OP-507,予備ローラー,2
EQ-0051,仕分ラインC,1,OP-511,センサーS1,5
EQ-0051,仕分ラインC,2,OP-512,保護カバー,6
EQ-0051,仕分ラインC,3,OP-513,交換ベルト,7
EQ-0052,包装ラインD,1,OP-521,保護カバー,6
EQ-0052,包装ラインD,2,OP-522,交換ベルト,7
EQ-0052,包装ラインD,3,OP-523,ガイド板,8
EQ-0052,包装ラインD,4,OP-524,制御ケーブル,1
EQ-0053,検査ラインE,1,OP-531,交換ベルト,7
EQ-0053,検査ラインE,2,OP-532,ガイド板,8
EQ-0053,検査ラインE,3,OP-533,制御ケーブル,1
EQ-0053,検査ラインE,4,OP-534,予備ローラー,2
EQ-0053,検査ラインE,5,OP-535,固定金具,3
EQ-0054,保管ラインF,1,OP-541,ガイド板,8
EQ-0054,保管ラインF,2,OP-542,制御ケーブル,1
EQ-0054,保管ラインF,3,OP-543,予備ローラー,2
EQ-0054,保管ラインF,4,OP-544,固定金具,3
EQ-0054,保管ラインF,5,OP-545,フィルター,4
EQ-0054,保管ラインF,6,OP-546,ラベル台紙,5
EQ-0055,加工ラインA,1,OP-551,制御ケーブル,1
EQ-0055,加工ラインA,2,OP-552,予備ローラー,2
EQ-0055,加工ラインA,3,OP-553,固定金具,3
EQ-0055,加工ラインA,4,OP-554,フィルター,4
EQ-0055,加工ラインA,5,OP-555,ラベル台紙,5
EQ-0055,加工ラインA,6,OP-556,ロックピン,6
EQ-0055,加工ラインA,7,OP-557,センサーS1,7
EQ-0056,搬送ラインB,1,OP-561,予備ローラー,2
EQ-0056,搬送ラインB,2,OP-562,固定金具,3
EQ-0056,搬送ラインB,3,OP-563,フィルター,4
EQ-0057,仕分ラインC,1,OP-571,固定金具,3
EQ-0057,仕分ラインC,2,OP-572,フィルター,4
EQ-0057,仕分ラインC,3,OP-573,ラベル台紙,5
EQ-0057,仕分ラインC,4,OP-574,ロックピン,6
EQ-0058,包装ラインD,1,OP-581,フィルター,4
EQ-0058,包装ラインD,2,OP-582,ラベル台紙,5
EQ-0058,包装ラインD,3,OP-583,ロックピン,6
EQ-0058,包装ラインD,4,OP-584,センサーS1,7
EQ-0058,包装ラインD,5,OP-585,保護カバー,8
EQ-0059,検査ラインE,1,OP-591,ラベル台紙,5
EQ-0059,検査ラインE,2,OP-592,ロックピン,6
EQ-0059,検査ラインE,3,OP-593,センサーS1,7
EQ-0059,検査ラインE,4,OP-594,保護カバー,8
EQ-0059,検査ラインE,5,OP-595,交換ベルト,1
EQ-0059,検査ラインE,6,OP-596,ガイド板,2
EQ-0060,保管ラインF,1,OP-601,ロックピン,6
EQ-0060,保管ラインF,2,OP-602,センサーS1,7
EQ-0060,保管ラインF,3,OP-603,保護カバー,8
EQ-0060,保管ラインF,4,OP-604,交換ベルト,1
EQ-0060,保管ラインF,5,OP-605,ガイド板,2
EQ-0060,保管ラインF,6,OP-606,制御ケーブル,3
EQ-0060,保管ラインF,7,OP-607,予備ローラー,4
