case_id,equipment,work_date,line_no,item_name,item_value
WK-0031,プレスA,2026-05-11,01,点検区分,安全確認
WK-0031,プレスA,2026-05-11,02,圧力,0151
WK-0031,プレスA,2026-05-11,03,温度,0041
WK-0031,プレスA,2026-05-11,04,判定,OK
WK-0032,搬送B,2026-05-12,01,点検区分,清掃確認
WK-0032,搬送B,2026-05-12,02,圧力,0152
WK-0032,搬送B,2026-05-12,03,温度,0042
WK-0032,搬送B,2026-05-12,04,判定,要確認
WK-0032,搬送B,2026-05-12,05,処置,清掃
WK-0033,仕分C,2026-05-13,01,点検区分,外観確認
WK-0033,仕分C,2026-05-13,02,圧力,0153
WK-0033,仕分C,2026-05-13,03,温度,0043
WK-0033,仕分C,2026-05-13,04,判定,保留
WK-0033,仕分C,2026-05-13,05,処置,調整
WK-0033,仕分C,2026-05-13,06,備考,表示ゆれあり
WK-0034,包装D,2026-05-14,01,点検区分,ベルト確認
WK-0034,包装D,2026-05-14,02,圧力,0154
WK-0034,包装D,2026-05-14,03,温度,0044
WK-0034,包装D,2026-05-14,04,判定,OK
WK-0034,包装D,2026-05-14,05,処置,部品交換
WK-0034,包装D,2026-05-14,06,備考,軽微な汚れ
WK-0034,包装D,2026-05-14,07,確認欄,L2
WK-0035,検査E,2026-05-15,01,点検区分,センサー確認
WK-0035,検査E,2026-05-15,02,圧力,0155
WK-0035,検査E,2026-05-15,03,温度,0045
WK-0035,検査E,2026-05-15,04,判定,要確認
WK-0035,検査E,2026-05-15,05,処置,再確認
WK-0035,検査E,2026-05-15,06,備考,交換候補
WK-0035,検査E,2026-05-15,07,確認欄,L3
WK-0035,検査E,2026-05-15,08,終了,END
WK-0036,昇降F,2026-05-16,01,点検区分,圧力確認
WK-0036,昇降F,2026-05-16,02,圧力,0156
WK-0036,昇降F,2026-05-16,03,温度,0028
WK-0036,昇降F,2026-05-16,04,判定,保留
WK-0037,混合G,2026-05-17,01,点検区分,温度確認
WK-0037,混合G,2026-05-17,02,圧力,0157
WK-0037,混合G,2026-05-17,03,温度,0029
WK-0037,混合G,2026-05-17,04,判定,OK
WK-0037,混合G,2026-05-17,05,処置,なし
WK-0038,封止H,2026-05-18,01,点検区分,ラベル確認
WK-0038,封止H,2026-05-18,02,圧力,0158
WK-0038,封止H,2026-05-18,03,温度,0030
WK-0038,封止H,2026-05-18,04,判定,要確認
WK-0038,封止H,2026-05-18,05,処置,清掃
WK-0038,封止H,2026-05-18,06,備考,次回点検対象
WK-0039,駆動J,2026-05-19,01,点検区分,安全確認
WK-0039,駆動J,2026-05-19,02,圧力,0159
WK-0039,駆動J,2026-05-19,03,温度,0031
WK-0039,駆動J,2026-05-19,04,判定,保留
WK-0039,駆動J,2026-05-19,05,処置,調整
WK-0039,駆動J,2026-05-19,06,備考,表示ゆれあり
WK-0039,駆動J,2026-05-19,07,確認欄,L1
WK-0040,経路K,2026-05-20,01,点検区分,清掃確認
WK-0040,経路K,2026-05-20,02,圧力,0160
WK-0040,経路K,2026-05-20,03,温度,0032
WK-0040,経路K,2026-05-20,04,判定,OK
WK-0040,経路K,2026-05-20,05,処置,部品交換
WK-0040,経路K,2026-05-20,06,備考,軽微な汚れ
WK-0040,経路K,2026-05-20,07,確認欄,L2
WK-0040,経路K,2026-05-20,08,終了,END
WK-0041,プレスA,2026-05-01,01,点検区分,外観確認
WK-0041,プレスA,2026-05-01,02,圧力,0161
WK-0041,プレスA,2026-05-01,03,温度,0033
WK-0041,プレスA,2026-05-01,04,判定,要確認
WK-0042,搬送B,2026-05-02,01,点検区分,ベルト確認
WK-0042,搬送B,2026-05-02,02,圧力,0162
WK-0042,搬送B,2026-05-02,03,温度,0034
WK-0042,搬送B,2026-05-02,04,判定,保留
WK-0042,搬送B,2026-05-02,05,処置,保留
WK-0043,仕分C,2026-05-03,01,点検区分,センサー確認
WK-0043,仕分C,2026-05-03,02,圧力,0163
WK-0043,仕分C,2026-05-03,03,温度,0035
WK-0043,仕分C,2026-05-03,04,判定,OK
WK-0043,仕分C,2026-05-03,05,処置,なし
WK-0043,仕分C,2026-05-03,06,備考,予備確認済
WK-0044,包装D,2026-05-04,01,点検区分,圧力確認
WK-0044,包装D,2026-05-04,02,圧力,0164
WK-0044,包装D,2026-05-04,03,温度,0036
WK-0044,包装D,2026-05-04,04,判定,要確認
WK-0044,包装D,2026-05-04,05,処置,清掃
WK-0044,包装D,2026-05-04,06,備考,次回点検対象
WK-0044,包装D,2026-05-04,07,確認欄,L3
WK-0045,検査E,2026-05-05,01,点検区分,温度確認
WK-0045,検査E,2026-05-05,02,圧力,0165
WK-0045,検査E,2026-05-05,03,温度,0037
WK-0045,検査E,2026-05-05,04,判定,保留
WK-0045,検査E,2026-05-05,05,処置,調整
WK-0045,検査E,2026-05-05,06,備考,表示ゆれあり
WK-0045,検査E,2026-05-05,07,確認欄,L1
WK-0045,検査E,2026-05-05,08,終了,END
WK-0046,昇降F,2026-05-06,01,点検区分,ラベル確認
WK-0046,昇降F,2026-05-06,02,圧力,0166
WK-0046,昇降F,2026-05-06,03,温度,0038
WK-0046,昇降F,2026-05-06,04,判定,OK
WK-0047,混合G,2026-05-07,01,点検区分,安全確認
WK-0047,混合G,2026-05-07,02,圧力,0167
WK-0047,混合G,2026-05-07,03,温度,0039
WK-0047,混合G,2026-05-07,04,判定,要確認
WK-0047,混合G,2026-05-07,05,処置,再確認
WK-0048,封止H,2026-05-08,01,点検区分,清掃確認
WK-0048,封止H,2026-05-08,02,圧力,0168
WK-0048,封止H,2026-05-08,03,温度,0040
WK-0048,封止H,2026-05-08,04,判定,保留
WK-0048,封止H,2026-05-08,05,処置,保留
WK-0048,封止H,2026-05-08,06,備考,異常なし
WK-0049,駆動J,2026-05-09,01,点検区分,外観確認
WK-0049,駆動J,2026-05-09,02,圧力,0169
WK-0049,駆動J,2026-05-09,03,温度,0041
WK-0049,駆動J,2026-05-09,04,判定,OK
WK-0049,駆動J,2026-05-09,05,処置,なし
WK-0049,駆動J,2026-05-09,06,備考,予備確認済
WK-0049,駆動J,2026-05-09,07,確認欄,L2
WK-0050,経路K,2026-05-10,01,点検区分,ベルト確認
WK-0050,経路K,2026-05-10,02,圧力,0170
WK-0050,経路K,2026-05-10,03,温度,0042
WK-0050,経路K,2026-05-10,04,判定,要確認
WK-0050,経路K,2026-05-10,05,処置,清掃
WK-0050,経路K,2026-05-10,06,備考,次回点検対象
WK-0050,経路K,2026-05-10,07,確認欄,L3
WK-0050,経路K,2026-05-10,08,終了,END
